IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_Graduate,ID_Person,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,Home_County,Home_City,Applicant_SATM,Applicant_SATCR,Applicant_SATW
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,43613,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,McHenry,Woodstock,550,630,NULL
NULL,NULL,No,NULL,NULL,,NULL,15228,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,540,470,NULL
NULL,NULL,No,NULL,NULL,,NULL,43614,Not Reported,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,Cook,Hickory Hills,660,580,580
Yes,Accept,Yes,NULL,No,White,No,29739,White,No,Yes,Yes,Yes,2014,Accept,NULL,NULL,Yes,Waitlist,Cook,Hickory Hills,610,480,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,33794,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,680,580,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,33794,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,730,540,540
NULL,NULL,No,NULL,NULL,,NULL,15231,Black or African American,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Chicago,440,430,270
NULL,NULL,No,NULL,NULL,Asian,NULL,33795,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,McLean,Bloomington,540,430,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,33795,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,McLean,Bloomington,620,490,490
NULL,NULL,No,NULL,NULL,,NULL,33796,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,730,600,NULL
NULL,NULL,No,NULL,NULL,,NULL,6984,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,North Aurora,530,390,490
NULL,NULL,No,NULL,NULL,White,NULL,9562,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,500,470,440
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,16073,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Will,New Lenox,540,560,NULL
NULL,Rescinded,No,NULL,NULL,"Asian, White",NULL,44087,Two or More Races,NULL,No,Yes,NULL,2016,Rescinded,NULL,NULL,NULL,Waitlist,Kane,Sugar Grove,570,520,570
NULL,Rescinded,No,NULL,NULL,White,NULL,44088,White,NULL,No,Yes,NULL,2016,Rescinded,NULL,NULL,NULL,Waitlist,Kane,Sugar Grove,550,490,560
NULL,NULL,No,NULL,NULL,,NULL,16088,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Homewood,410,360,NULL
NULL,NULL,No,NULL,NULL,,NULL,16088,Black or African American,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Homewood,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,16096,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,McHenry,Cary,610,620,NULL
NULL,NULL,No,NULL,NULL,,NULL,16096,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,McHenry,Cary,690,640,NULL
NULL,NULL,No,NULL,NULL,,NULL,33799,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,660,590,NULL
NULL,NULL,No,NULL,NULL,,NULL,43615,Not Reported,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,DuPage,Bloomingdale,690,570,570
NULL,NULL,No,NULL,NULL,Unknown,NULL,44090,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Evanston,0,0,0
NULL,NULL,No,NULL,NULL,,NULL,16114,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Oak Park,610,440,520
NULL,NULL,No,NULL,NULL,,NULL,16117,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,NULL,NULL,NULL
NULL,NULL,Yes,NULL,No,Asian,No,16118,Asian,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Darien,580,520,510
NULL,NULL,No,NULL,NULL,Black or African American,NULL,44091,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,530,430,410
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,44092,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kendall,Oswego,460,460,450
NULL,NULL,No,NULL,NULL,White,NULL,43616,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,McHenry,Mchenry,540,560,560
NULL,NULL,Yes,NULL,Yes,Asian,Yes,16138,Asian,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Schaumburg,730,600,560
NULL,NULL,No,NULL,NULL,,NULL,33800,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kendall,Oswego,560,520,NULL
NULL,NULL,No,NULL,NULL,,NULL,14983,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Carol Stream,570,420,430
NULL,NULL,No,NULL,NULL,,NULL,14983,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Carol Stream,610,410,NULL
NULL,NULL,No,NULL,NULL,,NULL,12749,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Brookfield,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,15235,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Berwyn,440,520,NULL
NULL,NULL,Yes,NULL,Yes,"Hispanic or Latino, White",Yes,15236,Hispanic or Latino,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,460,410,NULL
NULL,NULL,No,NULL,NULL,,NULL,16163,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Elmwood Park,570,540,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,15237,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Big Rock,450,410,450
NULL,NULL,No,NULL,NULL,,NULL,11967,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Vernon Hills,500,420,NULL
NULL,NULL,No,NULL,NULL,,NULL,43618,Not Reported,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,Cook,Palatine,620,540,540
NULL,NULL,No,NULL,NULL,,NULL,16175,Black or African American,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Will,Romeoville,470,490,470
NULL,NULL,No,NULL,NULL,Black or African American,NULL,6998,Black or African American,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Lynwood,460,590,590
NULL,NULL,No,NULL,NULL,White,NULL,44021,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Elmhurst,630,520,440
NULL,NULL,No,NULL,NULL,"Native Hawaiian or Other Pacific Islander, White",NULL,43619,Two or More Races,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,560,610,610
