IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_Graduate,ID_Person,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,Home_County,Home_City,Applicant_SATM,Applicant_SATCR,Applicant_SATW
NULL,NULL,No,NULL,NULL,Asian,NULL,37061,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,710,620,620
NULL,NULL,No,NULL,NULL,Asian,NULL,44260,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,560,440,350
NULL,NULL,Yes,2,No,Asian,No,43785,Asian,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,McDonough,Macomb,590,580,580
NULL,NULL,No,NULL,NULL,,NULL,22973,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Naperville,650,560,500
NULL,NULL,No,NULL,NULL,,NULL,22973,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,660,570,NULL
NULL,NULL,No,NULL,NULL,,NULL,33920,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,St Charles,600,600,NULL
Yes,Accept,Yes,NULL,Yes,,Yes,22991,Asian,No,Yes,Yes,Yes,2012,Accept,NULL,NULL,Yes,Waitlist,DuPage,Aurora,720,640,710
NULL,NULL,No,NULL,NULL,White,NULL,44261,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Lee,Dixon,550,420,470
NULL,NULL,No,NULL,NULL,,NULL,6393,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,600,540,440
NULL,NULL,No,NULL,No,,No,29824,Asian,NO,No,Yes,NO,2014,NULL,NULL,NULL,NULL,Waitlist,DuPage,Woodridge,690,530,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,23013,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Westchester,560,390,NULL
NULL,NULL,No,NULL,NULL,,NULL,33921,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,33922,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Cicero,430,420,NULL
NULL,NULL,No,NULL,NULL,Hispanic or Latino,NULL,44262,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,470,510,440
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,23015,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Will,Plainfield,610,570,560
NULL,NULL,No,NULL,NULL,Hispanic or Latino,NULL,32725,Hispanic or Latino,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,33923,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kendall,Millbrook,480,580,NULL
NULL,NULL,No,NULL,NULL,,NULL,6179,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kendall,Yorkville,610,610,NULL
NULL,NULL,No,NULL,NULL,"American Indian or Alaska Native, Black or African American",NULL,23039,Two or More Races,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Will,Romeoville,430,370,NULL
NULL,NULL,No,NULL,NULL,,NULL,43787,Not Reported,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,McHenry,Union,670,600,600
NULL,NULL,No,NULL,NULL,,NULL,33924,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Lake,Wauconda,640,530,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,44264,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Will,Joliet,470,480,470
Yes,Accept,Yes,NULL,Yes,,Yes,4421,White,No,Yes,Yes,Yes,2012,Accept,NULL,NULL,Yes,Waitlist,Kendall,Yorkville,630,590,580
NULL,NULL,No,NULL,NULL,,NULL,3322,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,Geneva,620,430,410
NULL,NULL,No,NULL,NULL,,NULL,3322,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Geneva,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,33925,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,680,690,NULL
NULL,NULL,Yes,NULL,No,Asian,No,39274,Asian,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Madison,Glen Carbon,550,540,540
NULL,NULL,No,NULL,NULL,White,NULL,13541,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Rock Island,Rock Island,510,550,480
NULL,NULL,No,NULL,NULL,Black or African American,NULL,12240,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,Deferred,Will,Frankfort,630,540,480
NULL,NULL,No,NULL,NULL,White,NULL,32737,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Orland Park,610,510,440
NULL,NULL,No,NULL,NULL,,NULL,2754,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,590,430,NULL
NULL,NULL,No,NULL,NULL,Black or African American,NULL,43788,Black or African American,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Robbins,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,23147,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,Waitlist,DuPage,Aurora,620,540,630
NULL,NULL,No,NULL,NULL,,NULL,33926,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Iroquois,Danforth,610,510,NULL
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,23154,Two or More Races,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,670,540,NULL
NULL,NULL,No,NULL,NULL,,NULL,7644,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kendall,Plano,580,500,530
NULL,NULL,No,NULL,NULL,,NULL,23160,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Will,Plainfield,770,530,580
NULL,NULL,No,NULL,NULL,,NULL,23160,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,Waitlist,Will,Plainfield,730,610,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43789,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,670,490,490
NULL,NULL,No,NULL,NULL,Hispanic or Latino,NULL,31121,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Harvey,410,320,390
NULL,NULL,No,NULL,NULL,,NULL,23163,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Orland Park,560,590,530
NULL,NULL,Yes,2,No,White,No,33927,White,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,620,630,NULL
NULL,NULL,No,NULL,NULL,,NULL,23176,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,540,420,430
NULL,NULL,No,NULL,NULL,,NULL,15494,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Dolton,NULL,NULL,NULL
NULL,NULL,Yes,NULL,No,"Asian, White",No,9612,Two or More Races,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Williamson,Marion,580,540,NULL
NULL,NULL,Yes,NULL,No,Asian,No,33928,Asian,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,McLean,Normal,540,460,NULL
NULL,NULL,No,NULL,NULL,,NULL,10734,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,NULL,NULL,NULL
Yes,Accept,Yes,NULL,Yes,,Yes,23190,White,No,Yes,Yes,Yes,2012,Accept,NULL,NULL,Yes,Waitlist,McHenry,Lk In The Hls,650,580,620
NULL,NULL,No,NULL,NULL,Asian,NULL,44267,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,Waitlist,DuPage,Aurora,580,510,600
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,23197,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Champaign,Champaign,700,550,580
NULL,NULL,No,NULL,NULL,,NULL,3182,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,West Chicago,680,740,NULL
NULL,NULL,No,NULL,NULL,,NULL,14903,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Elk Grove Vlg,720,500,NULL
NULL,NULL,No,NULL,NULL,,NULL,33929,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Schaumburg,680,640,NULL
NULL,NULL,No,NULL,NULL,,NULL,33930,Not Reported,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,650,550,NULL
NULL,NULL,Yes,NULL,No,"Asian, White",No,43790,Two or More Races,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Lake,Mettawa,620,640,640
Yes,Accept,Yes,NULL,No,"Asian, White",No,43790,Two or More Races,Yes,Yes,Yes,Yes,2016,Accept,NULL,NULL,Yes,Waitlist,Lake,Mettawa,640,670,650
NULL,NULL,No,NULL,NULL,,NULL,23218,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Peoria,Peoria,650,470,430
NULL,NULL,No,NULL,NULL,Asian,NULL,44268,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,Waitlist,Will,Romeoville,620,560,570
NULL,NULL,No,NULL,NULL,,NULL,12201,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Dekalb,Dekalb,450,480,NULL
NULL,NULL,No,NULL,NULL,,NULL,23227,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,590,440,500
NULL,NULL,No,NULL,NULL,,NULL,23228,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Glendale Hts,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,850,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Roselle,490,400,400
NULL,Rescinded,No,NULL,NULL,White,NULL,13563,White,NULL,No,Yes,NULL,2015,Rescinded,NULL,NULL,NULL,Waitlist,Kane,Batavia,510,510,510
NULL,NULL,No,NULL,NULL,,NULL,10735,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,North Aurora,540,350,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,12241,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,540,480,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,15497,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,420,410,NULL
NULL,NULL,Yes,NULL,Yes,,Yes,23233,Hispanic or Latino,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,Deferred,Cook,Chicago,650,470,NULL
NULL,NULL,No,NULL,NULL,,NULL,23235,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Melrose Park,NULL,NULL,NULL
NULL,NULL,Yes,NULL,Yes,,Yes,9288,Asian,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,520,530,NULL
NULL,NULL,No,NULL,NULL,,NULL,23239,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,470,520,600
Yes,Accept,Yes,NULL,Yes,,Yes,9288,Asian,No,Yes,Yes,Yes,2012,Accept,NULL,NULL,Yes,Waitlist,DuPage,Naperville,630,590,630
NULL,NULL,No,NULL,NULL,,NULL,6394,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,660,450,NULL
NULL,NULL,No,NULL,NULL,,NULL,6395,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,560,560,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,44269,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Arlington Hts,600,540,550
NULL,NULL,No,NULL,NULL,Asian,NULL,9613,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Palatine,740,630,590
NULL,NULL,No,NULL,NULL,,NULL,11975,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,640,500,550
NULL,NULL,No,NULL,NULL,,NULL,33931,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Lake,Vernon Hills,640,550,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,15499,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,McLean,Normal,610,520,470
NULL,NULL,Yes,NULL,No,Asian,No,23280,Asian,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,West Chicago,630,520,510
Yes,Accept,Yes,NULL,Yes,,Yes,23279,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,DuPage,West Chicago,680,660,NULL
NULL,NULL,No,NULL,NULL,Unknown,NULL,44270,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Rock Island,Hampton,510,540,480
NULL,NULL,No,NULL,NULL,,NULL,23287,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Grundy,Gardner,NULL,NULL,NULL
NULL,NULL,Yes,NULL,No,Hispanic or Latino,No,23289,Hispanic or Latino,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Round Lake,630,630,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43791,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,660,600,600
NULL,NULL,No,NULL,NULL,,NULL,3327,Not Reported,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,540,630,530
NULL,NULL,No,NULL,NULL,,NULL,7658,Black or African American,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Crete,460,580,450
NULL,NULL,No,NULL,NULL,Unknown,NULL,44271,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Sangamon,Springfield,380,550,460
NULL,NULL,No,NULL,NULL,,NULL,33932,Not Reported,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,640,570,NULL
NULL,NULL,No,NULL,NULL,,NULL,23322,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,River Forest,560,690,580
NULL,NULL,No,NULL,NULL,,NULL,23348,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Dekalb,Dekalb,530,550,550
NULL,NULL,No,NULL,NULL,,NULL,23351,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Vernon Hills,580,450,NULL
NULL,NULL,No,NULL,NULL,,NULL,23351,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Lake,Vernon Hills,690,590,NULL
NULL,NULL,No,NULL,NULL,,NULL,33933,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,33934,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,640,490,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,33934,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,690,590,590
NULL,NULL,No,NULL,NULL,,NULL,33935,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Boone,Caledonia,510,440,NULL
NULL,NULL,No,NULL,NULL,,NULL,1441,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Alsip,560,440,NULL
NULL,NULL,No,NULL,NULL,,NULL,1441,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Alsip,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,8958,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Bartlett,650,620,NULL
NULL,NULL,No,NULL,NULL,,NULL,29733,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,590,630,NULL
NULL,NULL,No,NULL,NULL,,NULL,29733,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,660,690,590
NULL,NULL,No,NULL,NULL,White,NULL,43792,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,530,460,460
NULL,Decline,No,NULL,NULL,White,NULL,15016,White,NULL,No,Yes,NULL,2016,Decline,NULL,NULL,NULL,Waitlist,DuPage,Bartlett,670,670,640
NULL,NULL,No,NULL,NULL,,NULL,5294,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,590,360,420
NULL,NULL,No,NULL,NULL,,NULL,23424,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Blue Island,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,23428,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Shorewood,530,500,490
NULL,NULL,No,NULL,NULL,,NULL,33936,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,23430,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Arlington Hts,580,690,NULL
Yes,Accept,Yes,NULL,No,White,No,29830,White,No,Yes,Yes,Yes,2014,Accept,NULL,NULL,Yes,Waitlist,Will,Bolingbrook,710,750,NULL
NULL,NULL,No,NULL,NULL,White,NULL,43793,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,600,610,610
NULL,NULL,No,NULL,NULL,White,NULL,43793,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,680,650,590
NULL,NULL,No,NULL,NULL,,NULL,15503,Not Reported,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,470,570,NULL
NULL,NULL,No,NULL,NULL,,NULL,2576,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,600,570,NULL
NULL,NULL,No,NULL,NULL,,NULL,2576,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,740,640,600
NULL,NULL,Yes,NULL,Yes,,Yes,7678,White,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,660,660,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,23460,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Pt Barrington,670,580,480
NULL,NULL,Yes,NULL,Yes,White,Yes,23461,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,La Grange Pk,620,640,630
NULL,NULL,Yes,NULL,No,White,No,33937,White,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Cook,La Grange Park,550,480,NULL
Yes,Accept,Yes,NULL,Yes,White,Yes,23461,White,No,Yes,Yes,Yes,2013,Accept,NULL,NULL,Yes,Waitlist,Cook,La Grange Pk,670,700,710
Yes,Accept,Yes,NULL,No,White,No,33937,White,Yes,Yes,Yes,Yes,2015,Accept,NULL,NULL,Yes,Waitlist,Cook,La Grange Pk,660,660,660
NULL,NULL,No,NULL,NULL,,NULL,23465,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Lake,Gurnee,720,500,550
NULL,Decline,No,NULL,No,,No,29833,Asian,NO,No,Yes,NO,2014,Accept,Decline,NULL,NULL,Waitlist,DuPage,Carol Stream,610,530,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,23474,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Westchester,580,520,460
NULL,NULL,No,NULL,NULL,,NULL,23482,Not Reported,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Woodridge,680,570,540
NULL,NULL,No,NULL,NULL,,NULL,33938,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,520,490,NULL
NULL,NULL,Yes,NULL,No,White,No,9617,White,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Dekalb,Dekalb,660,580,580
NULL,NULL,No,NULL,NULL,,NULL,23496,Black or African American,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Calumet City,350,420,420
NULL,NULL,No,NULL,NULL,,NULL,23499,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Oak Brook,690,630,NULL
NULL,NULL,No,NULL,NULL,Black or African American,NULL,13613,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,440,380,390
NULL,NULL,Yes,2,No,White,No,43795,White,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Will,Joliet,540,530,530
NULL,NULL,No,NULL,NULL,,NULL,33939,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kankakee,Bourbonnais,450,560,NULL
NULL,NULL,No,NULL,NULL,,NULL,23518,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Dekalb,Dekalb,490,420,420
NULL,NULL,No,NULL,NULL,,NULL,23527,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Dekalb,Shabbona,620,550,590
NULL,NULL,No,NULL,NULL,,NULL,9012,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Peoria,Peoria,470,440,NULL
NULL,NULL,No,NULL,NULL,White,NULL,43796,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Peoria,Edwards,540,610,610
NULL,NULL,No,NULL,NULL,,NULL,23557,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Iroquois,Danforth,490,430,340
NULL,NULL,No,NULL,NULL,White,NULL,32793,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Sangamon,Springfield,520,540,650
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,23567,Two or More Races,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Northbrook,760,700,NULL
NULL,NULL,No,NULL,NULL,,NULL,33940,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Hinsdale,610,640,NULL
NULL,NULL,No,NULL,NULL,,NULL,23580,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,510,400,NULL
NULL,NULL,No,NULL,NULL,,NULL,4485,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Sangamon,Springfield,440,380,NULL
NULL,NULL,No,NULL,NULL,,NULL,23597,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Marion,Salem,600,540,520
NULL,NULL,No,NULL,NULL,,NULL,23599,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Villa Park,460,480,350
NULL,NULL,Yes,NULL,No,"Asian, Black or African American",No,7702,Two or More Races,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,490,480,480
NULL,NULL,No,NULL,NULL,"Black or African American, White",NULL,23621,Two or More Races,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Chicago,590,500,520
NULL,NULL,Yes,NULL,Yes,White,Yes,4492,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,Deferred,Sangamon,Springfield,700,710,620
NULL,NULL,Yes,NULL,Yes,,Yes,23663,Asian,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,Kendall,Oswego,610,610,NULL
Yes,Accept,Yes,NULL,Yes,,Yes,23663,Asian,No,Yes,Yes,Yes,2012,Accept,NULL,NULL,Yes,Waitlist,Kendall,Oswego,660,690,680
NULL,NULL,No,NULL,NULL,,NULL,33941,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Lake,Highland Park,640,690,NULL
NULL,NULL,No,NULL,NULL,,NULL,8959,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,490,510,520
NULL,NULL,No,NULL,NULL,"Asian, Black or African American",NULL,3329,Two or More Races,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Kankakee,Bourbonnais,750,590,590
NULL,NULL,No,NULL,NULL,,NULL,23703,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Elk Grove Vlg,650,520,520
NULL,NULL,No,NULL,NULL,Asian,NULL,44275,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Elmhurst,690,590,430
Yes,Accept,Yes,NULL,Yes,,Yes,23715,White,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,Lake,Lindenhurst,600,700,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,6398,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Glenwood,500,520,NULL
